#,Name,Address,Phone,Website,Rating,Type,Status,emails
1,Alberta Massage & Spa,"1051 Ross Glen Dr SE, Medicine Hat",(403) 580-3334,http://www.albertamassageandspa.ca/,4.4,"spa, point of interest, establishment",OPERATIONAL,None found
2,New Style Spa,"1299 Trans Canada Way S E 4 SE, Medicine Hat",(403) 458-6188,http://www.newstylespa.ca/,3.6,"spa, point of interest, establishment",OPERATIONAL,None found
3,Lelavadee Day Spa,"821 Industrial Ave SE, Medicine Hat",(403) 878-2876,http://www.lelavadee.ca/,5,"spa, point of interest, health, establishment",OPERATIONAL,None found
4,Desert Springs Spa,"1870 B 6 Ave SW, Medicine Hat",(403) 527-1991,https://desertspringsspa.ca/,4.9,"beauty salon, hair care, spa, point of interest, health, establishment",OPERATIONAL,None found
5,"Medicine Hat Lodge, Trademark Collection by Wyndham","1051 Ross Glen Dr SE, Medicine Hat",(403) 529-2222,http://www.medhatlodge.com/,3.7,"casino, night club, lodging, spa, restaurant, food, bar, point of interest, establishment",OPERATIONAL,None found
6,Century Asian Massage Spa,"526 3rd St SE B, Medicine Hat",(403) 992-8586,N/A,4.3,"spa, point of interest, establishment",OPERATIONAL,No email found
7,Jules + Stellan Medispa,"3295 Dunmore Rd SE Unit 3, Medicine Hat",(403) 977-5152,https://julesandstellan.ca/,4.9,"spa, point of interest, health, establishment",OPERATIONAL,None found
8,Double Healing Asian Massage Spa,"533 N Railway St SE, Medicine Hat",(403) 977-8288,N/A,3.6,"spa, point of interest, establishment",OPERATIONAL,No email found
9,Gas City Massage & Spa Ltd,"880A 2 St SE, Medicine Hat",(403) 458-1652,N/A,5,"spa, point of interest, establishment",OPERATIONAL,No email found
10,Spa Therapeutics,"Suite #14, 3295 Dunmore Rd SE, Medicine Hat",(403) 526-0216,http://spatherapeutics.ca/,5,"spa, point of interest, health, establishment",OPERATIONAL,spatherapeutics@hotmail.com
11,Kate Avalon Day Spa & Salon,"#101, 851 Industrial Ave SE, Medicine Hat",(403) 487-2566,https://kateavalon.com/,4.7,"spa, beauty salon, hair care, point of interest, health, establishment",OPERATIONAL,None found
12,Plush Salon & Spa,"4979 Southlands Dr SE #208, Medicine Hat",(403) 529-0044,https://plushsalonandspa.ca/,4.8,"beauty salon, spa, point of interest, establishment",OPERATIONAL,appointments@plushsalonandspa.ca
13,EUPHORIA,"2248 Southview Dr SE #100, Medicine Hat",(403) 878-5915,http://www.euphoriainc.ca/,4.9,"spa, beauty salon, point of interest, establishment",OPERATIONAL,Info@euphoriainc.ca
14,The Skin Studio,"578 3rd St SE, Medicine Hat",(587) 821-2005,http://www.vagaro.com/theskinstudioyxh,4.8,"spa, beauty salon, point of interest, establishment",OPERATIONAL,None found
15,Phoenix Spa Redcliff Inc,"210 Broadway Ave E #3, Redcliff",(403) 487-1333,http://www.phoenixspa.ca/,4.6,"spa, point of interest, health, establishment",OPERATIONAL,infophoenixspa@gmail.com
16,J Kruger Medi Spa,"1221 Kingsway Ave SE #105, Medicine Hat",(403) 529-2006,https://www.jkrugerspa.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=12215195819055498650,4.6,"spa, point of interest, health, establishment",OPERATIONAL,None found
17,J&S Beauty Spa,"1364 Southview Dr SE Unit 4, Medicine Hat",(403) 487-3888,N/A,4.1,"beauty salon, hair care, point of interest, establishment",OPERATIONAL,No email found
18,Essentials Medi Spa,"1335 Trans Canada Way S E #2, Medicine Hat",(403) 487-0460,https://essentialsmedispa.ca/,4.8,"spa, point of interest, health, establishment",OPERATIONAL,None found
19,Long Nails & Spa,"3062 A Dunmore Rd SE, Medicine Hat",(403) 526-6906,N/A,3.4,"beauty salon, spa, point of interest, establishment",OPERATIONAL,No email found
20,Urban Aesthetics,"1201 Kingsway Ave SE #101, Medicine Hat",(403) 502-3776,http://www.urbanaestheticsyxh.com/,5,"spa, beauty salon, point of interest, health, establishment",OPERATIONAL,elevated.403-977-1714urbanaestheticsyxh@gmail.com101-1201
21,"Regal Nails, Salon & Spa","2051 Strachan Rd SE, Medicine Hat",(403) 526-1946,N/A,3.5,"beauty salon, spa, health, point of interest, establishment",OPERATIONAL,No email found
22,Glowing Aura Wellness Spa Inc,"1375 22 St SE, Medicine Hat",(825) 734-4569,https://www.glowingaurawellness.com/,4.6,"store, point of interest, establishment",OPERATIONAL,Canadaglowingaurawellness@gmail.com
23,Auto Spa Towing Ltd.,"839 Smelter Ave SE, Medicine Hat",(403) 526-8787,http://www.autospatowing.ca/,4.9,"locksmith, point of interest, establishment",OPERATIONAL,None found
24,Polar Nail & Spa,"1941 Strachan Rd SE #103, Medicine Hat",(403) 487-1628,N/A,4.3,"beauty salon, point of interest, establishment",OPERATIONAL,No email found
25,Rose Chinese Massage Spa,"552 3rd St SE Unit 201, Medicine Hat",(403) 992-8586,N/A,,"spa, point of interest, establishment",OPERATIONAL,No email found
26,Saynas Collective healing,"1364 Southview Dr SE Unit 3, Medicine Hat",,https://saynascollectivehealing.com/,5,"spa, point of interest, establishment",OPERATIONAL,None found
27,BARE skin co,"423 N Railway St SE, Medicine Hat",(403) 594-2228,https://www.bareskinco.ca/,5,"spa, health, point of interest, establishment",OPERATIONAL,None found
28,Beautiful you laser and medi spa,"2315 Hatcher Dr NE, Medicine Hat",(403) 878-2936,N/A,4.6,"hair care, beauty salon, health, point of interest, establishment",OPERATIONAL,No email found
29,Tranquil Healing Massage and Spa,"107 Cooney Rd SE, Medicine Hat",(403) 977-4511,https://tranquilhealingmassageandspa.my.canva.site/by-toni-harmon,5,"spa, store, point of interest, establishment",OPERATIONAL,None found
30,Aura Wellness,"3271 Dunmore Rd SE, Medicine Hat",(403) 952-0708,https://aurawellness.net/,5,"hospital, health, point of interest, establishment",OPERATIONAL,None found
31,KW Vitamin Infusion Clinic,"202 Broadway Ave E, Redcliff",(403) 525-8250,http://www.kilkennywellness.com/,5,"spa, health, point of interest, establishment",OPERATIONAL,"sylvanlake.kwiv@gmail.com, lethbridge.kwiv@gmail.com, medicinehat.kwiv@gmail.com, clinic.kwiv@gmail.comLocationsMedicine, airdrienorth.kwiv@gmail.com, camrose.kwiv@gmail.com, connect@kilkennywellness.com, strathmore.kwiv@gmail.com, centralab.kwiv@gmail.com, clinic.kwiv@gmail.com, foothills.kwiv@gmail.com, edmonton.kwiv@gmail.com, cypress.kwiv@gmail.comHigh"
32,ClearView SkinCare,"568 S Railway St Unit 4, Medicine Hat",(587) 289-2273,https://cvskin.ca/,5,"hair care, beauty salon, spa, health, point of interest, establishment",OPERATIONAL,"Us587.705.5117info@cvskin.caOur, info@cvskin.ca"
33,Meek Blend Medical Aesthetics Medicine Hat,"1310 Kingsway Ave SE Bay 108, Medicine Hat",(306) 264-7993,https://meekblend.janeapp.com/,,"spa, health, point of interest, establishment",OPERATIONAL,None found
34,Luxury Nails Spa,"3195 13 Ave SE #101, Medicine Hat",(587) 289-5115,https://luxurynailsbeautyspa.com/,4.8,"beauty salon, point of interest, establishment",OPERATIONAL,None found
35,Zealousy Beauty Bar,"328 Prospect Dr SW, Medicine Hat",(403) 504-7162,http://zealousybeautybar.com/,5,"spa, hair care, beauty salon, health, point of interest, establishment",OPERATIONAL,None found
36,Diva Nails & Spa,"1830 Strachan Rd SE # 105, Medicine Hat",(403) 487-3999,N/A,4.1,"beauty salon, point of interest, establishment",OPERATIONAL,No email found
37,Aquatic Elevation,"616 Kingsway Ave SE #101, Medicine Hat",(403) 487-2266,http://www.aquaticelevation.ca/,4.6,"health, point of interest, establishment",OPERATIONAL,None found
38,Advanced Massage Therapist,"1865 Dunmore Rd SE #206, Medicine Hat",(587) 289-5122,https://advancedmassagetherapist.ca/,5,"spa, health, point of interest, establishment",OPERATIONAL,"filler@godaddy.com, Info@advancedmassagetherapist.caHoursMon09, filler@godaddy.comBookingsMy"
39,Old Time's Car Wash,"3115 13 Ave SE, Medicine Hat",(403) 800-5459,https://m.facebook.com/100089059581769/,4,"car wash, point of interest, establishment",OPERATIONAL,None found
40,Infinite Glow Spa,"20 Southview Pl SE, Medicine Hat",(403) 528-0361,N/A,5,"beauty salon, point of interest, establishment",OPERATIONAL,No email found
41,Integrated Therapeutic Massage,"1865 Dunmore Rd SE, Medicine Hat",(403) 487-5100,N/A,5,"spa, point of interest, establishment",OPERATIONAL,No email found
42,Kontur,"557 2 St SE, Medicine Hat",,N/A,5,"spa, health, point of interest, establishment",OPERATIONAL,No email found
43,Oriental Foot Massage,"955 S Railway St, Medicine Hat",(403) 966-0736,N/A,3,"spa, point of interest, establishment",OPERATIONAL,No email found
44,The Rose Room,"557 2 St SE, Medicine Hat",(403) 548-2060,https://www.theroseroommh.ca/,5,"spa, beauty salon, point of interest, establishment",OPERATIONAL,None found
45,Ultimate Spas,"1329 10 Ave SW, Medicine Hat",(403) 580-8131,http://www.ultimatespas.ca/,4.9,"general contractor, store, point of interest, establishment",OPERATIONAL,Mr.Tubs@telus.netCall
46,LookToLou,"431 N Railway St SE, Medicine Hat",(403) 952-7617,N/A,5,"spa, point of interest, establishment",OPERATIONAL,No email found
47,One's Nails & Spa,"3215 Dunmore Rd SE, Medicine Hat",(403) 529-5123,N/A,4,"beauty salon, point of interest, establishment",OPERATIONAL,No email found
48,Pearl Pores Spa,"384 16 St NE, Medicine Hat",,http://pearlporesspa.com/,5,"health, point of interest, establishment",OPERATIONAL,None found
49,Charmee Nail & Spa Inc,"1290 Trans Canada Way S E, Medicine Hat",(403) 529-1668,N/A,4,"beauty salon, point of interest, establishment",OPERATIONAL,No email found
50,Healing Hands Oasis,"431 N Railway St SE, Medicine Hat",(403) 548-5302,http://healinghandsoasis.net/,4.8,"beauty salon, store, point of interest, establishment",OPERATIONAL,healinghandsmassage@cheerful.com
51,BZS Body Balance,"501c N Railway St SE, Medicine Hat",(403) 458-0650,https://bzslabb.ca/,4.8,"point of interest, establishment",OPERATIONAL,None found
52,Spa-Tacular Hot Tubs-Billiards,"1224 Kingsway Ave SE, Medicine Hat",(403) 528-5448,http://www.spatacularhottubs.com/,3.8,"store, point of interest, establishment",OPERATIONAL,"spatac@shaw.ca, Jason@spatacularhottubs.com"
53,Revive Wellness & Massage,"1311 Trans Canada Way S E, Medicine Hat",(403) 504-5435,http://www.revivethehat.com/,4.9,"point of interest, establishment",OPERATIONAL,None found
54,A Star Massage,"1377 22 St SE, Medicine Hat",(403) 526-7560,N/A,4.6,"point of interest, establishment",OPERATIONAL,No email found
55,Infinite Glow Spa,"3151 Dunmore Rd SE, Medicine Hat",,N/A,,"beauty salon, point of interest, establishment",OPERATIONAL,No email found
56,TheraPinay Massage,"Broadview Square, 1377 22 St SE, Medicine Hat",(587) 999-4446,http://therapinaymassage.vip/,5,"point of interest, establishment",OPERATIONAL,None found
57,Bridgette's Relaxation Massage & Esthetics,"423 7th St SW, Medicine Hat",(403) 893-2030,N/A,,"spa, beauty salon, health, point of interest, establishment",OPERATIONAL,No email found
58,Sopita Therapeutic Thai Herbal Massage,"44 Taylor Ave SE, Medicine Hat",(403) 979-3077,http://www.sosabaithaiherbalmassage.ca/,5,"point of interest, establishment",OPERATIONAL,None found
59,Embassy Salon,"73 7 St SE #104, Medicine Hat",(403) 527-4733,https://linktr.ee/embassysalon,4.6,"beauty salon, point of interest, establishment",OPERATIONAL,None found
60,Good Heart Massage,"1364 Southview Dr SE #4, Medicine Hat",(403) 952-7694,https://m.facebook.com/BaanKhunThaiMassage/,4.9,"point of interest, establishment",OPERATIONAL,None found
61,Anytime Fitness Medicine Hat,"3030 13 Ave SE #115, Medicine Hat",(403) 580-5524,https://www.anytimefitness.ca/gyms/3506/medicine-hat-ab-t1b-0m9/?utm_source=google&utm_medium=organic-businesslisting&utm_campaign=gbp-listing&utm_content=3506,4,"gym, health, point of interest, establishment",OPERATIONAL,None found
62,Temple Fitness,"A, 880 2 St SE, Medicine Hat",(403) 487-5060,http://www.templefitness.ca/,4.7,"gym, health, point of interest, establishment",OPERATIONAL,ADMIN@TEMPLEFITNESS.CA
63,Iron Nation Fitness Medicine Hat,"3292 Dunmore Rd SE #145, Medicine Hat",(403) 905-0802,https://www.ironnationfitness.com/,5,"gym, health, point of interest, establishment",OPERATIONAL,None found
64,GoodLife Fitness Medicine Hat Carry and Dunmore,"3214 Dunmore Rd SE, Medicine Hat",(403) 581-5406,https://www.goodlifefitness.com/clubs/club.280.html?utm_source=G&utm_medium=LPM&utm_campaign=GoodlifeFitness,4.3,"gym, health, point of interest, establishment",OPERATIONAL,medicinehat@goodlifefitness.com
65,Medicine Hat Spin and Fitness Club,"7th St SW, Medicine Hat",,N/A,,"gym, health, point of interest, establishment",OPERATIONAL,No email found
66,Downtown Gym - YMCA of Southeastern Alberta,"150 Ash Ave SE, Medicine Hat",(403) 527-4426,http://www.medicinehatymca.ca/,3.4,"gym, health, point of interest, establishment",OPERATIONAL,None found
67,Crew Training,"1311 Trans Canada Way S E #5, Medicine Hat",(403) 580-3475,https://www.crewtrainingmedhat.ca/,5,"gym, health, point of interest, establishment",OPERATIONAL,None found
68,Back Alley Fitness,"530 4 Ave NE, 4 Avenue Northeast, Medicine Hat",(403) 527-7172,http://backalleyfitness.com/,4.9,"gym, health, point of interest, establishment",OPERATIONAL,info@backalleyfitness.com
69,Back Alley Fitness,"312 3 St SE, Redcliff",(403) 527-7172,https://backalleyfitness.com/,5,"gym, health, point of interest, establishment",OPERATIONAL,info@backalleyfitness.com
70,Medicine Hat College Gym (The Snakepit),Medicine Hat,(403) 529-4823,http://www.rattlers.ca/,4.4,"gym, health, point of interest, establishment",OPERATIONAL,None found
